Ticker,CompanyName,LineItem,Year,Quarter,WebFiscalPeriod,OutputOrField,NumberOnly,LineSequence,Category,WebNumberFormat,QuarterEndDate,PeriodType,iDataType,Sector,Industry,SubIndustry,UpdateDate,LTCode,Currency,UIC,Period,Restatement,InSncUpdateDate,Scaler
ORLY,O'Reilly Automotive Inc,Adjusted Debt/EBITDAR,2015,1Q,1Q15,A,1.66,112,KM,X,3/31/2015,Quarterly,Current,Consumer Discretionary,Retail and Wholesale - Discretionary,Retail - Discretionary,4/26/2015,KM_S_158,,I_106-180,Q1,0,4/26/2015,Mtl
ORLY,O'Reilly Automotive Inc,Adjusted Debt/EBITDAR,2015,2Q,2Q15,A,1.63,112,KM,X,6/30/2015,Quarterly,Current,Consumer Discretionary,Retail and Wholesale - Discretionary,Retail - Discretionary,7/26/2015,KM_S_158,,I_106-180,Q2,0,7/26/2015,Mtl
ORLY,O'Reilly Automotive Inc,Adjusted Debt/EBITDAR,2015,3Q,3Q15,A,1.57,112,KM,X,9/30/2015,Quarterly,Current,Consumer Discretionary,Retail and Wholesale - Discretionary,Retail - Discretionary,10/25/2015,KM_S_158,,I_106-180,Q3,0,10/25/2015,Mtl
ORLY,O'Reilly Automotive Inc,Adjusted Debt/EBITDAR,2015,4Q,4Q15,A,1.52,112,KM,X,12/31/2015,Quarterly,Current,Consumer Discretionary,Retail and Wholesale - Discretionary,Retail - Discretionary,2/7/2016,KM_S_158,,I_106-180,Q4,0,2/7/2016,Mtl
ORLY,O'Reilly Automotive Inc,Adjusted Debt/EBITDAR,2015,FY,2015,A,1.52,112,KM,X,12/31/2015,Yearly,Current,Consumer Discretionary,Retail and Wholesale - Discretionary,Retail - Discretionary,2/7/2016,KM_S_158,,I_106-180,FY,0,2/7/2016,Mtl
ORLY,O'Reilly Automotive Inc,Adjusted Debt/EBITDAR,2016,1Q,1Q16,A,1.72,112,KM,X,3/31/2016,Quarterly,Current,Consumer Discretionary,Retail and Wholesale - Discretionary,Retail - Discretionary,4/26/2016,KM_S_158,,I_106-180,Q1,0,4/26/2016,Mtl
ORLY,O'Reilly Automotive Inc,Adjusted Debt/EBITDAR,2016,2Q,2Q16,A,1.69,112,KM,X,6/30/2016,Quarterly,Current,Consumer Discretionary,Retail and Wholesale - Discretionary,Retail - Discretionary,7/26/2016,KM_S_158,,I_106-180,Q2,0,7/26/2016,Mtl
ORLY,O'Reilly Automotive Inc,Adjusted Debt/EBITDAR,2016,3Q,3Q16,A,1.66,112,KM,X,9/30/2016,Quarterly,Current,Consumer Discretionary,Retail and Wholesale - Discretionary,Retail - Discretionary,10/25/2016,KM_S_158,,I_106-180,Q3,0,10/25/2016,Mtl
ORLY,O'Reilly Automotive Inc,Adjusted Debt/EBITDAR,2016,4Q,4Q16,A,1.63,112,KM,X,12/31/2016,Quarterly,Current,Consumer Discretionary,Retail and Wholesale - Discretionary,Retail - Discretionary,2/7/2017,KM_S_158,,I_106-180,Q4,0,2/7/2017,Mtl
ORLY,O'Reilly Automotive Inc,Adjusted Debt/EBITDAR,2016,FY,2016,A,1.63,112,KM,X,12/31/2016,Yearly,Current,Consumer Discretionary,Retail and Wholesale - Discretionary,Retail - Discretionary,2/7/2017,KM_S_158,,I_106-180,FY,0,2/7/2017,Mtl
ORLY,O'Reilly Automotive Inc,Adjusted Debt/EBITDAR,2017,1Q,1Q17,A,1.69,112,KM,X,3/31/2017,Quarterly,Current,Consumer Discretionary,Retail and Wholesale - Discretionary,Retail - Discretionary,4/26/2017,KM_S_158,,I_106-180,Q1,0,4/26/2017,Mtl
ORLY,O'Reilly Automotive Inc,Adjusted Debt/EBITDAR,2017,2Q,2Q17,A,1.95,112,KM,X,6/30/2017,Quarterly,Current,Consumer Discretionary,Retail and Wholesale - Discretionary,Retail - Discretionary,7/26/2017,KM_S_158,,I_106-180,Q2,0,7/26/2017,Mtl
ORLY,O'Reilly Automotive Inc,Adjusted Debt/EBITDAR,2017,3Q,3Q17,A,2.08,112,KM,X,9/30/2017,Quarterly,Current,Consumer Discretionary,Retail and Wholesale - Discretionary,Retail - Discretionary,10/25/2017,KM_S_158,,I_106-180,Q3,0,10/25/2017,Mtl
ORLY,O'Reilly Automotive Inc,Adjusted Debt/EBITDAR,2017,4Q,4Q17,A,2.12,112,KM,X,12/31/2017,Quarterly,Current,Consumer Discretionary,Retail and Wholesale - Discretionary,Retail - Discretionary,2/7/2018,KM_S_158,,I_106-180,Q4,0,2/7/2018,Mtl
ORLY,O'Reilly Automotive Inc,Adjusted Debt/EBITDAR,2017,FY,2017,A,2.12,112,KM,X,12/31/2017,Yearly,Current,Consumer Discretionary,Retail and Wholesale - Discretionary,Retail - Discretionary,2/7/2018,KM_S_158,,I_106-180,FY,0,2/7/2018,Mtl
ORLY,O'Reilly Automotive Inc,Adjusted Debt/EBITDAR,2018,1Q,1Q18,A,2.18,112,KM,X,3/31/2018,Quarterly,Current,Consumer Discretionary,Retail and Wholesale - Discretionary,Retail - Discretionary,4/25/2018,KM_S_158,,I_106-180,Q1,0,4/25/2018,Mtl
